Week_Start,Week_End,Solar,Wind,Geothermal,Biomass,Biogas,Small Hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,CAISO_Load_GWh,Solar_share,Wind_share,Geothermal_share,Biomass_share,Biogas_share,Small Hydro_share,Coal_share,Nuclear_share,Natural Gas_share,Large Hydro_share,Batteries_share,Imports_share,Other_share
2020-07-19 00:00:00+00:00,2020-07-25 00:00:00+00:00,816.3572499999999,455.5449166666666,144.852,54.371,36.32391666666666,54.17216666666666,1.6502499999999998,184.48683333333332,1416.8848333333333,379.26224999999994,-0.3767499999999999,1112.6716666666666,0.0,4599.51175,0.1777784501236614,0.09874965202701337,0.0315396621794069,0.01185072073877473,0.007911861240095828,0.011783155766501772,0.0003568008383113,0.04014890461075759,0.3074027356732475,0.08233732101405171,-8.100601824516409e-05,0.2425240328278336,0.0
2020-07-26 00:00:00+00:00,2020-08-01 00:00:00+00:00,816.6173333333332,365.8186666666666,151.5715,56.8405,35.130333333333326,50.9055,1.2285,184.343,2023.0298333333333,382.56133333333327,-0.6452499999999999,860.2689166666667,0.0,4873.624083333333,0.1679320807498422,0.0750576036470032,0.031177525922285503,0.011708630027449556,0.007236458597819214,0.010477091751237498,0.0002529117605165857,0.03792265203603862,0.41331166720746665,0.07835348756066683,-0.00013103908257282724,0.17776559355316154,0.0
2020-08-02 00:00:00+00:00,2020-08-08 00:00:00+00:00,821.55225,553.1456666666667,151.0685,59.50391666666666,34.92375,47.14525,1.3704999999999998,352.722,1331.47275,348.3039166666666,-0.29333333333333333,1052.9154166666665,0.0,4681.533583333333,0.17584034826028208,0.11770820205049592,0.032314000465981575,0.0127335254918769,0.007474439703165601,0.010079877334171672,0.00029453902836708566,0.07542762495227183,0.28335899756089433,0.0743663487776712,-6.068854138603105e-05,0.22603272772384347,0.0
2020-08-09 00:00:00+00:00,2020-08-15 00:00:00+00:00,711.3968333333332,275.486,149.9345833333333,58.56583333333333,35.01833333333333,47.81883333333333,1.4796666666666665,380.8748333333333,2149.942833333333,398.96958333333333,-0.57875,1092.72825,0.0,5244.779083333333,0.13848424488417097,0.054280714694575016,0.02887201036456896,0.011263766317867756,0.006732942610406072,0.009175971079835515,0.00028408681791148574,0.0733138782807129,0.4032192860466032,0.07610856786982009,-0.00011508497187523547,0.20946203276327163,0.0
2020-08-16 00:00:00+00:00,2020-08-22 00:00:00+00:00,582.95125,319.38275,146.75875,60.32266666666666,35.028666666666666,50.7645,3.1883333333333335,378.6291666666666,2818.588,407.7846666666666,-0.8335833333333332,1180.8388333333332,0.0,5903.641333333333,0.09885816975411821,0.0541677916808886,0.024906609856434586,0.010218243859464387,0.005945408184798428,0.008613886656940371,0.0005389642717819715,0.06425760520751053,0.47662480340294133,0.06885598259800439,-0.00014120450077649476,0.2007580707705647,0.0
2020-08-23 00:00:00+00:00,2020-08-29 00:00:00+00:00,679.0606666666666,314.4650833333333,151.8060833333333,62.72191666666666,33.620666666666665,46.43,2.3299166666666666,378.74249999999995,2308.84925,321.11616666666663,-0.4194166666666666,1108.6945833333332,0.0,5307.876833333333,0.12868855735013338,0.05951555096872283,0.028727692589554498,0.011868062900407386,0.0063692075540495285,0.008760638640675928,0.0004380202247969714,0.07167895166941472,0.4329337241328736,0.0603244011773284,-7.919313610909512e-05,0.20964196444809485,0.0
2020-08-30 00:00:00+00:00,2020-09-05 00:00:00+00:00,710.0221666666665,295.5618333333333,151.62375,60.58841666666667,34.66208333333333,40.41141666666667,1.8728333333333333,379.0373333333333,1922.6673333333333,287.4747499999999,-0.21225,1096.182,0.0,4893.581416666666,0.1462074467801644,0.06157181084148777,0.03117980048857206,0.012457856088957513,0.007122916938908486,0.008302266356259157,0.00038454995028647145,0.0779200857477328,0.38918420538460524,0.058547127268864255,-4.661201113584819e-05,0.22517731532911633,0.0
2020-09-06 00:00:00+00:00,2020-09-12 00:00:00+00:00,505.55224999999996,200.74999999999997,150.9813333333333,55.909166666666664,33.40541666666667,33.53191666666667,2.4001666666666663,377.28274999999996,2016.5905833333331,239.67624999999998,-0.9340833333333333,1425.88825,0.0,4951.761166666666,0.1024429353023686,0.038818749184033385,0.030912607813133826,0.01142013195549337,0.0068594646446922,0.006799796252588128,0.0004911255219355429,0.07719607304021162,0.40370683782280065,0.04785295968912564,-0.00017570955780342614,0.2918901521201125,0.0
2020-09-13 00:00:00+00:00,2020-09-19 00:00:00+00:00,571.2446666666666,185.61075,154.93383333333333,55.299166666666665,34.33033333333333,31.103916666666663,2.6289166666666666,377.04583333333323,1778.6369999999997,227.36991666666663,-0.7554999999999998,1314.4816666666666,0.0,4667.4895,0.12305373331622797,0.0395621306850867,0.033292608010734914,0.0118868443821399,0.007381103559276314,0.006693644571929886,0.0005682908501102286,0.08104921806833891,0.38033236271068727,0.048452383660469826,-0.00016315951674799345,0.2818776740320514,0.0
2020-09-20 00:00:00+00:00,2020-09-26 00:00:00+00:00,637.1159166666666,367.87333333333333,160.77758333333333,55.96483333333333,35.1295,36.36758333333333,2.6427499999999995,370.88741666666664,1434.5097499999997,215.22225,-0.7763333333333332,1325.767083333333,0.0,4542.355083333333,0.1404961844986829,0.08067810582887015,0.0354673264523832,0.012346080037253472,0.007747144005688243,0.008001248556136058,0.0005842011851987429,0.08177242044691839,0.3156425174803786,0.04719673219652503,-0.00017377967545888245,0.292191170708313,0.0
2020-09-27 00:00:00+00:00,2020-10-03 00:00:00+00:00,616.476,135.09258333333332,136.68075,55.14566666666666,34.248916666666666,33.35583333333333,1.7824999999999998,348.9525,2099.469583333333,214.05533333333332,-0.7383333333333333,1416.1804166666666,0.0,5040.252166666666,0.12303109196437216,0.027669745839315443,0.0273086937736065,0.010966696001678987,0.006840424602210514,0.006642266952537128,0.00035823765246276434,0.06952664315768767,0.414387752243844,0.04204575407689446,-0.00014801939398610326,0.281964764629969,0.0
2020-10-04 00:00:00+00:00,2020-10-10 00:00:00+00:00,517.7675,285.58241666666663,151.71516666666665,39.586416666666665,34.48533333333333,32.45191666666666,1.838833333333333,187.92908333333332,1728.7781666666665,226.72549999999998,-0.6255833333333333,1195.7985833333332,0.0,4368.042,0.11897921317824836,0.06797666738606196,0.03508539134781442,0.009124330745996114,0.007932341757475527,0.007433840993327158,0.0004269712855718572,0.043192420058332535,0.3925269116585741,0.051970324873975786,-0.0001437661568642736,0.2734829993044018,0.0
