Week_Start,Week_End,Solar,Wind,Geothermal,Biomass,Biogas,Small Hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,CAISO_Load_TWh,Solar_share,Wind_share,Geothermal_share,Biomass_share,Biogas_share,Small Hydro_share,Coal_share,Nuclear_share,Natural Gas_share,Large Hydro_share,Batteries_share,Imports_share,Other_share
2020-05-03 00:00:00+00:00,2020-05-09 00:00:00+00:00,0.7712715,0.3860168333333333,0.14926575,0.054122500000000004,0.03586341666666667,0.05165566666666666,0.0026761666666666665,0.3819099166666666,0.7821136666666666,0.41231124999999996,-0.0002543333333333333,1.05973075,0.0,3.959942916666666,0.1950488603320885,0.1000296544328133,0.0380503889689006,0.0138011378300387,0.0091323926171826,0.0131673338274823,0.0006835254314654,0.0971888750312868,0.1955743944057426,0.1043980596967914,-6.039494448047227e-05,0.265327435426171,0.0
2020-05-10 00:00:00+00:00,2020-05-16 00:00:00+00:00,0.7697190833333333,0.5279298333333332,0.14433116666666662,0.050117166666666664,0.035152916666666666,0.05420941666666666,0.002764333333333333,0.28985691666666663,0.5990288333333333,0.36988633333333326,-0.0001994166666666666,0.9739016666666667,0.0,3.6943566666666667,0.2083483270946846,0.1426537475434575,0.0390768278064269,0.0135720435594512,0.0095216842457077,0.0146772351356811,0.0007486744353096,0.0786409582649605,0.1621690050422184,0.1000979291623491,-5.605014565413442e-05,0.2636478852231782,0.0
2020-05-17 00:00:00+00:00,2020-05-23 00:00:00+00:00,0.71167775,0.4457219999999999,0.15434841666666663,0.05029383333333333,0.036032166666666664,0.057008666666666666,0.00318475,0.3823709999999999,0.5644364166666667,0.36936683333333326,-0.0004204166666666666,0.9685135,0.0,3.621895,0.1965344490131007,0.1233242053273053,0.0426535370276766,0.0138883240681846,0.0099553980715494,0.0157537957604399,0.000880959444964,0.1056818017615002,0.1557497145767352,0.1019740624837402,-0.0001150437369732,0.2670556047424001,0.0
2020-05-24 00:00:00+00:00,2020-05-30 00:00:00+00:00,0.7719424166666666,0.3009849166666666,0.15175524999999995,0.052117,0.03301933333333333,0.0602045,0.002856083333333333,0.381564,1.0964914166666666,0.41812849999999996,-0.0003519166666666666,1.1212324166666665,0.0,4.313759583333334,0.1805023998585491,0.0709351860574511,0.035819383859405,0.0122778829566547,0.0077565216772016,0.0141514168627369,0.0006718682578215,0.089805767104894,0.2486765568115038,0.0968594126633418,-7.611022130184034e-05,0.2611824347606957,0.0
2020-05-31 00:00:00+00:00,2020-06-06 00:00:00+00:00,0.6596369166666666,0.35920858333333333,0.15242050000000001,0.05334825,0.032354916666666664,0.06006908333333333,0.0028391666666666665,0.3807903333333333,1.2091692499999998,0.41943341666666656,-0.0003704999999999999,1.0426951666666666,0.0,4.302011749999999,0.1536421728054484,0.0886446562983232,0.0360083310108799,0.0125694394075574,0.0076515047854995,0.0141497822759201,0.000672156763752,0.0898864443285948,0.2717690099076232,0.0974431140338653,-8.02845621446991e-05,0.2447299324696618,0.0
2020-06-07 00:00:00+00:00,2020-06-13 00:00:00+00:00,0.7546449166666667,0.4345993333333333,0.14316108333333333,0.05296641666666667,0.03137325,0.05896558333333333,0.0027902499999999998,0.3807194166666666,1.0864895833333332,0.3411085833333332,-0.00035249999999999995,1.042609333333333,0.0,4.222041,0.1777717936317895,0.1095310722784393,0.0346225692633149,0.0127348952046598,0.007578017304343,0.014197834938759,0.0006791544854568,0.0917377249756949,0.2472909807033205,0.0803878173736419,-8.046902572931339e-05,0.2497132661005315,0.0
2020-06-14 00:00:00+00:00,2020-06-20 00:00:00+00:00,0.8366125,0.5299708333333333,0.14197791666666665,0.057471249999999995,0.03114558333333333,0.053967166666666656,0.002643,0.3810809166666666,0.8548163333333332,0.31464424999999996,-0.0003183333333333333,1.0723115,0.0,4.185241166666667,0.1997115042675283,0.1277164103354734,0.0340446199263438,0.0137646407789107,0.0074726663047339,0.0129615820987047,0.0006320980542932,0.0913441476813052,0.2030286232008099,0.0748092861006288,-7.723922566466576e-05,0.256750714691482,0.0
2020-06-21 00:00:00+00:00,2020-06-27 00:00:00+00:00,0.8087056666666667,0.47199775,0.13812766666666668,0.05059266666666667,0.03385675,0.05635141666666667,0.0023620833333333332,0.37906316666666656,1.3544296666666664,0.3491313333333333,-0.00031566666666666657,1.1026905,0.0,4.664595416666666,0.1742371001622756,0.1021985925209994,0.0297622551042254,0.0109047430539038,0.0072835501489399,0.0121147905426183,0.0005068830326205,0.0815611728409802,0.2885675984750235,0.0743940457863442,-6.572800651581757e-05,0.236428473829725,0.0
2020-06-28 00:00:00+00:00,2020-07-04 00:00:00+00:00,0.8588535,0.4199089999999999,0.15312491666666664,0.05543225,0.03585633333333333,0.055753416666666666,0.0025665,0.3793049166666666,0.9144348333333332,0.32656308333333334,-0.00059375,1.1537856666666664,0.0,4.2586945,0.2018352495957678,0.0999670792490797,0.0360279540350925,0.0130460495032102,0.0084358758472866,0.0131255752709487,0.000604914223256,0.0892606702440016,0.2147164647077189,0.0763641662687778,-0.0001378173922055,0.2697085063663045,0.0
2020-07-05 00:00:00+00:00,2020-07-11 00:00:00+00:00,0.8435744999999998,0.44611325,0.15192416666666664,0.055981083333333334,0.03632808333333333,0.05674191666666666,0.0017686666666666667,0.3810518333333333,1.5757628333333331,0.3399670833333333,-0.0004005833333333332,1.0495189166666665,0.0,4.881058333333334,0.1735589145973894,0.0926652668760531,0.0312237013156861,0.0115215442791565,0.0074588166626932,0.0116519644100838,0.0003634952672083,0.0782745744020091,0.3200287691551698,0.0695863117359777,-8.116895746566333e-05,0.2155094203841705,0.0
