Date,Number of BEVs
2024-01-28,1136043
2024-02-04,1142513
2024-02-11,1148983
2024-02-18,1155453
2024-02-25,1161923
2024-03-03,1168393
2024-03-10,1174863
2024-03-17,1181333
2024-03-24,1187803
2024-03-31,1194273
2024-04-07,1200743
2024-04-14,1207213
2024-04-21,1213684
2024-04-28,1220154
2024-05-05,1226624
2024-05-12,1233094
2024-05-19,1239564
2024-05-26,1246034
2024-06-02,1252504
2024-06-09,1258974
2024-06-16,1265444
2024-06-23,1271914
2024-06-30,1278384
2024-07-07,1284854
2024-07-14,1291325
2024-07-21,1297795
2024-07-28,1304265
2024-08-04,1310735
2024-08-11,1317205
2024-08-18,1323675
2024-08-25,1330145
2024-09-01,1336615
2024-09-08,1343085
2024-09-15,1349555
2024-09-22,1356025
2024-09-29,1362496
2024-10-06,1368966
2024-10-13,1375436
2024-10-20,1381906
2024-10-27,1388376
2024-11-03,1394846
2024-11-10,1401316
2024-11-17,1407786
2024-11-24,1414256
2024-12-01,1420726
2024-12-08,1427196
2024-12-15,1433666
2024-12-22,1440137
2024-12-29,1446607
2025-01-05,1453077
