Week_Start,Week_End,Solar,Wind,Geothermal,Biomass,Biogas,Small Hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,CAISO_Load_GWh,Solar_share,Wind_share,Geothermal_share,Biomass_share,Biogas_share,Small Hydro_share,Coal_share,Nuclear_share,Natural Gas_share,Large Hydro_share,Batteries_share,Imports_share,Other_share,bev
2021-10-24 00:00:00+00:00,2021-10-30 00:00:00+00:00,575.77525,329.729,154.77875,49.09625,34.23183333333330,29.720666666666700,0.8826666666666670,160.88916666666700,1705.683583333330,150.14416666666700,2.9182500000000000,855.6076666666670,0.0,3854.8225000000000,0.1491134666207280,0.08688327341720350,0.0402165933782365,0.012756070894961900,0.008896782393276470,0.007715638485573290,0.00023137827885827100,0.04185088632696410,0.4412434501295710,0.03898741503737200,0.0007355447945652290,0.2220119830643900,0.0,491409
2021-10-31 00:00:00+00:00,2021-11-06 00:00:00+00:00,573.1599166666670,297.27100000000000,184.90991666666700,39.1765,34.21425,27.390916666666700,2.2255,268.89466666666700,1586.6900833333300,159.56616666666700,6.699000000000000,785.6660833333330,0.0,3793.6096666666700,0.15148162967345,0.07940985867876740,0.04886907737508960,0.010396755567425500,0.009040972334346070,0.007266833368721710,0.0005826107550319570,0.07105398609869610,0.41719001759162,0.0419249846936956,0.0017205075669360700,0.20701288368802500,0.0,494345
2021-11-07 00:00:00+00:00,2021-11-13 00:00:00+00:00,536.2810833333330,282.38216666666700,184.18216666666700,35.38658333333330,34.785083333333300,33.79775,1.7602500000000000,381.08458333333300,1473.160083333330,186.57575000000000,2.1515000000000000,899.4105000000000,0.0,3867.5218333333300,0.13885505642772100,0.0748232932416033,0.04778987609157650,0.009163673767895530,0.009026537262148320,0.0087487779462287,0.0004569376466131430,0.098828838917975,0.37884667198204300,0.04813248319507600,0.0005873462337147140,0.23270332899391800,0.0,497281
2021-11-14 00:00:00+00:00,2021-11-20 00:00:00+00:00,466.33233333333300,232.51200000000000,155.21000000000000,41.73133333333330,35.001416666666700,31.296333333333300,1.7400833333333300,286.2708333333330,1580.1763333333300,152.23241666666700,3.732,1052.3279166666700,0.0,3859.121,0.12124723679679500,0.06005005239011510,0.04035191112177930,0.010853335642301200,0.009082485006156090,0.008132078307809090,0.0004517396985739710,0.07456389169417080,0.40849769690001700,0.039314512942594000,0.0009634958336753860,0.27316437019231200,0.0,500217
2021-11-21 00:00:00+00:00,2021-11-27 00:00:00+00:00,486.65941666666700,242.74691666666700,147.01308333333300,52.6905,35.277166666666700,27.132583333333300,2.7396666666666700,375.5623333333330,1249.6955,160.1090833333330,3.53575,1071.3690833333300,0.0,3677.2494166666700,0.13315314855530100,0.06514334376041410,0.040131377095752500,0.014390617670565800,0.009632605655058040,0.007411577378468490,0.0007468462912641290,0.1024072249014280,0.3383727751599740,0.043574993003604200,0.0009392313843300310,0.2924019937969020,0.0,503153
2021-11-28 00:00:00+00:00,2021-12-04 00:00:00+00:00,491.6405833333330,124.41383333333300,144.43991666666700,45.206916666666700,34.70008333333330,28.5455,2.6724166666666700,380.52983333333300,1291.9645000000000,149.07241666666700,3.525,1344.4920833333300,0.0,3883.2455,0.12697066792818400,0.031975897961562200,0.037290473945885200,0.011705695026840800,0.008959958464134630,0.0073763987052148300,0.0006910680016317290,0.09822089981352310,0.3315625988649610,0.038424389231587200,0.0008800375539051860,0.3465839432151820,0.0,506088
2021-12-05 00:00:00+00:00,2021-12-11 00:00:00+00:00,352.6493333333330,330.8105,139.57208333333300,48.59583333333330,35.68583333333330,31.04125,2.6159166666666700,380.83158333333300,1484.2273333333300,148.6653333333330,7.345583333333330,1326.2814166666700,0.0,4068.606833333330,0.08757364289906840,0.08067772817861490,0.034370624800888400,0.011971180419972600,0.008785144666102970,0.007631869230755060,0.0006444359376334860,0.09378862979719590,0.363731018624744,0.03647757093753960,0.0018246970218848600,0.3268000640082410,0.0,509024
2021-12-12 00:00:00+00:00,2021-12-18 00:00:00+00:00,361.572,347.47433333333300,140.49425,43.86375,32.41641666666670,31.79908333333330,2.3721666666666700,380.4015833333330,1612.6024166666700,165.79958333333300,2.428083333333330,1372.7893333333300,0.0,4254.879666666670,0.08577783726611070,0.08104222912101000,0.03308423720547750,0.010347194641549100,0.007655002900256890,0.0074684296119869,0.0005579278642289290,0.08959868756550340,0.3783880542777130,0.03884259698154090,0.0005577191642885570,0.3230622947336160,0.0,511960
2021-12-19 00:00:00+00:00,2021-12-25 00:00:00+00:00,286.8401666666670,321.6850833333330,147.65341666666700,47.91416666666670,34.64458333333330,34.32991666666670,2.2665000000000000,380.58925,1425.5768333333300,221.0743333333330,-1.105,1443.0623333333300,0.0,4087.6155,0.07102895300491910,0.08124024093898920,0.036289697580652700,0.011772035655972600,0.008515613921816810,0.008453336988391990,0.0005614773342238570,0.09348576303576180,0.3460697919893220,0.0539778349528767,-0.0001876899682347140,0.3530104359251340,0.0,514896
2021-12-26 00:00:00+00:00,2022-01-01 00:00:00+00:00,332.9720000000000,505.16725,148.73391666666700,45.33933333333330,35.63808333333330,29.821166666666700,3.0381666666666700,380.62966666666700,1430.0365000000000,236.17783333333300,7.02575,1119.3488333333300,0.0,3982.350583333330,0.08502040271144800,0.1274380075326090,0.03747496838780900,0.011454844317866100,0.008974646864907190,0.00752503295168253,0.0007651460422814140,0.09593834870949650,0.35633365326149300,0.05906641621200790,0.0019082385810504600,0.28198619858798300,0.0,517832
