Date,Number of BEVs
2010,601
2011,4375
2012,7902
2013,25146
2014,50175
2015,82686
2016,115569
2017,159705
2018,232239
2019,308447
2020,369364
2021,522445
2022,763557
2023,1115708
2024,1454001
