Date,Solar,Wind,Geothermal,Biomass,Biogas,Small Hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,CAISO_Load_MWh,Solar_share,Wind_share,Geothermal_share,Biomass_share,Biogas_share,Small Hydro_share,Coal_share,Nuclear_share,Natural Gas_share,Large Hydro_share,Batteries_share,Imports_share,Other_share
2024-02-22 00:00:00-08:00,122268.0,31021.666666666664,18950.333333333332,6512.916666666666,4659.0,7070.666666666666,0.0,54246.08333333333,161248.75,60794.33333333333,-1635.25,58527.916666666664,0.0,513284.25,0.238207192213671,0.0604375970364698,0.0369197639189851,0.0126887132552122,0.0090768419253074,0.0137753431293998,0.0,0.1056842935144285,0.3141509796959482,0.1184418445205231,-0.0031858565697272,0.1140263249197041,0.0
2024-02-23 00:00:00-08:00,105831.41666666666,28950.083333333332,18901.416666666664,6419.583333333333,4744.416666666666,6929.333333333333,0.0,54224.83333333333,167333.16666666666,64943.0,897.3333333333333,59703.916666666664,0.0,520700.25,0.2032482539938604,0.0555983664946067,0.0362999953748181,0.0123287502422619,0.0091116081981267,0.0133077203887137,0.0,0.1041382894157114,0.3213617943656963,0.1247224290750772,0.0017233203428139,0.1146608181322491,0.0
2024-02-24 00:00:00-08:00,87082.83333333333,27300.166666666664,18977.583333333332,6199.166666666666,4781.75,7039.5,0.0,54193.58333333333,107560.41666666666,61146.166666666664,590.5833333333333,104796.58333333331,0.0,471407.5,0.1847294184613807,0.0579120329368257,0.0402572791763672,0.0131503352548838,0.0101435594469752,0.0149329401844476,0.0,0.1149612242769436,0.2281686580435539,0.1297097875334326,0.001252808521997,0.2223057192202782,0.0
2024-02-25 00:00:00-08:00,90815.83333333331,42417.33333333333,18971.166666666664,6201.333333333333,4699.333333333333,6919.583333333333,0.0,54191.416666666664,78351.25,64116.666666666664,1712.9999999999998,102284.16666666666,0.0,458496.3333333333,0.1980731943330699,0.092514007745609,0.0413769212258331,0.0135253717041721,0.0102494458334454,0.0150919054968814,0.0,0.11819378417421,0.1708874080417946,0.1398411764834179,0.0037361258432455,0.2230861170100233,0.0
2024-02-26 00:00:00-08:00,62101.916666666664,89511.08333333333,18896.583333333332,6437.583333333333,4707.75,6966.916666666666,0.0,54165.666666666664,100939.83333333331,63665.416666666664,-817.4166666666665,149656.41666666666,0.0,536051.3333333333,0.1158506896727552,0.1669822977152685,0.0352514435806521,0.0120092665254695,0.0087822745831555,0.0129967341436205,0.0,0.1010456709991704,0.1883025506263703,0.118767387949164,-0.0015248850545407,0.2791829949121788,0.0
2024-02-27 00:00:00-08:00,115974.66666666666,77010.58333333333,18886.916666666664,6599.5,4675.5,6948.666666666666,0.0,54159.5,109480.33333333331,68964.33333333333,1169.9166666666663,68134.66666666666,0.0,516820.25,0.2244003919480064,0.1490084479726429,0.0365444594453616,0.0127694299904076,0.0090466656443899,0.0134450356128009,0.0,0.1047936879408266,0.2118344498562765,0.1334396888150828,0.0022636819409972,0.131834359560537,0.0
2024-02-28 00:00:00-08:00,124964.91666666666,21065.666666666664,18792.666666666664,6239.333333333333,4690.583333333333,6698.666666666666,0.0,54261.916666666664,120462.66666666666,64809.33333333333,-2396.9166666666665,89033.0,0.0,506970.9166666666,0.246493265310584,0.041552021968387,0.0370685300652519,0.0123070833616195,0.0092521743933042,0.0132131182410036,0.0,0.107031616376416,0.2376125783678255,0.1278363929817801,-0.0047279174955959,0.1756175691209111,0.0
2024-02-29 00:00:00-08:00,118014.66666666666,69687.75,18926.416666666664,5607.333333333333,4716.166666666666,6669.166666666666,0.0,54207.25,102499.33333333331,75476.75,-4440.916666666667,94414.08333333331,0.0,538225.25,0.2192663139952402,0.1294769243917858,0.0351644904557462,0.0104181907729771,0.0087624403847026,0.0123910326887611,0.0,0.1007148029565688,0.190439473683803,0.1402326442321314,-0.0082510373986851,0.1754174173978893,0.0
2024-03-01 00:00:00-08:00,105397.25,87513.0,18940.0,5532.583333333333,4728.583333333333,6482.25,0.0,54167.08333333333,114427.75,68408.75,1291.8333333333337,81782.25,0.0,530893.0,0.1985282345029977,0.164841126177968,0.0356757388023575,0.0104212776083567,0.0089068481470528,0.0122100875317625,0.0,0.1020301328767441,0.2155382534710384,0.128856002998721,0.0024333214665353,0.1540465781240287,0.0
2024-03-02 00:00:00-08:00,95853.33333333331,88282.25,19095.583333333332,5429.75,4743.583333333333,6662.666666666666,0.0,54148.08333333333,93045.5,70296.25,383.3333333333334,87044.16666666666,0.0,507049.25,0.1890414655644068,0.1741098128041802,0.037660214137647,0.0107085258483273,0.0093552713732114,0.0131400779444337,0.0,0.1067905796790614,0.1835038706792288,0.1386379133782369,0.0007560080866569,0.1716680710338624,0.0
2024-03-03 00:00:00-08:00,87583.91666666666,94205.75,19101.333333333332,5302.5,4711.916666666666,6461.083333333333,0.0,54209.75,102329.33333333331,71613.08333333333,-6105.833333333333,59909.666666666664,0.0,484767.0833333333,0.1806721612870785,0.1943319858935691,0.0394031154136737,0.0109382426783996,0.0097199600151619,0.0133282220585315,0.0,0.1118263839764973,0.2110896899799818,0.1477267863174841,-0.0125953958988895,0.1235844361682285,0.0
2024-03-04 00:00:00-08:00,99584.25,81823.33333333333,18233.75,5857.5,4563.25,6211.583333333333,0.0,54249.416666666664,152441.3333333333,63688.83333333333,1828.25,41899.25,0.0,524000.9166666666,0.1900459461664428,0.1561511263259558,0.0347971719515121,0.0111784155593875,0.0087084771321169,0.011854145929452,0.0,0.1035292400092811,0.2909180661420598,0.1215433624400466,0.0034890206139906,0.0799602608837675,0.0
2024-03-05 00:00:00-08:00,116519.16666666666,64450.08333333333,17122.0,5717.0,4499.75,6418.583333333333,0.0,54263.5,187197.5833333333,65753.5,-12749.583333333332,16472.083333333332,0.0,523373.8333333333,0.2226308600958588,0.1231434955829851,0.0327146657121757,0.0109233584789457,0.008597583053286,0.0122638598350509,0.0,0.103680192902269,0.3576747086133143,0.1256339079491619,-0.0243603759326905,0.031472882831042,0.0
2024-03-06 00:00:00-08:00,90587.0,51286.58333333333,17082.333333333332,5805.25,4548.583333333333,6927.916666666666,0.0,54166.5,200909.3333333333,64477.0,3585.0,44377.25,0.0,537779.0,0.1684465179934508,0.0953673968922797,0.0317645972292211,0.0107948618298594,0.0084580902811997,0.0128824603911024,0.0,0.1007226016635086,0.3735908864669935,0.1198949754453037,0.0066663071633514,0.0825194922077656,0.0
2024-03-07 00:00:00-08:00,102624.91666666666,99180.41666666666,17526.5,5523.166666666666,4491.083333333333,7280.833333333333,0.0,54280.166666666664,168807.3333333333,64722.916666666664,-4243.916666666666,9729.75,0.0,526427.9166666666,0.1949458100863761,0.1884026540512431,0.0332932571490082,0.0104917814800538,0.0085312408235695,0.0138306368314117,0.0,0.1031103498658806,0.3206656181955902,0.1229473487585749,-0.0080617241835104,0.0184825874387677,0.0
2024-03-08 00:00:00-08:00,124771.41666666666,36414.75,18022.666666666664,5625.75,4633.666666666666,6978.166666666666,0.0,54339.58333333333,165680.41666666666,60290.25,-1856.0833333333328,26720.25,0.0,496539.5,0.2512819557490726,0.0733370658326276,0.0362965416984281,0.0113299143371272,0.0093319195485287,0.0140535982870782,0.0,0.1094365772175895,0.3336701645421294,0.121420853728656,-0.0037380376250697,0.0538129393532639,0.0
2024-03-09 00:00:00-08:00,118530.25,19034.166666666664,18654.666666666664,5897.833333333333,4718.0,6874.5,0.0,54331.33333333333,128507.83333333331,59795.0,-7952.999999999999,46003.666666666664,0.0,459607.3333333333,0.2578946013336021,0.0414139751178904,0.0405882702770916,0.012832330786715,0.0102652844239503,0.0149573331437995,0.0,0.1182125031367355,0.2796035311301966,0.1301001869711971,-0.017303901446307,0.1000934130728984,0.0
2024-03-10 00:00:00-08:00,100156.58333333331,33834.58333333333,17741.75,5822.0,4525.166666666666,6480.833333333333,0.0,52094.33333333333,97259.25,60172.666666666664,-3861.833333333333,61460.0,0.0,430402.9166666666,0.2327042393416246,0.078611417402492,0.0412212587623806,0.0135268600061763,0.0105137918249082,0.0150575962252424,0.0,0.1210361996075382,0.2259725625310392,0.1398054342491096,-0.0089726002863595,0.1427964300892477,0.0
2024-03-11 00:00:00-07:00,112175.58333333331,83215.16666666666,18664.75,6115.833333333333,4628.583333333333,6694.916666666666,0.0,54376.83333333333,118245.83333333331,60551.25,-2901.4166666666665,56407.83333333333,0.0,504209.3333333333,0.2224781968864783,0.1650409089346488,0.0370178589844958,0.0121295520114661,0.0091798842808674,0.0132780498575988,0.0,0.1078457492522946,0.2345173433256557,0.1200914897780551,-0.0057543890500506,0.111873838114857,0.0
2024-03-12 00:00:00-07:00,109927.33333333331,96345.41666666666,18261.416666666664,6270.0,4669.916666666666,6773.25,0.0,54387.75,92027.41666666666,70326.91666666666,-2245.5833333333335,76997.41666666666,0.0,527606.9166666666,0.208350819257329,0.1826083275696253,0.0346117840570386,0.0118838472391772,0.0088511285943149,0.0128376823465322,0.0,0.1030838457228969,0.174424204383219,0.1332941522279133,-0.0042561673518621,0.1459370873170572,0.0
2024-03-13 00:00:00-07:00,126965.58333333331,99239.91666666666,16770.666666666664,6424.333333333333,4690.0,6976.666666666666,0.0,54438.58333333333,92597.16666666666,61163.75,-4357.166666666666,53348.83333333333,0.0,510257.5833333333,0.2488264505623058,0.1944898418135546,0.0328670601171859,0.0125903730648458,0.0091914361553666,0.0136728328878339,0.0,0.1066884356283452,0.1814714169689785,0.1198683802020907,-0.0085391512228056,0.1045527495835028,0.0
2024-03-14 00:00:00-07:00,118034.08333333331,78976.5,18637.833333333332,6575.0,4694.416666666666,6809.416666666666,0.0,54457.916666666664,117313.16666666666,72677.41666666666,2005.4166666666667,23503.416666666664,0.0,500308.5833333333,0.2359225631247914,0.1578555767998517,0.0372526755570686,0.0131418892640092,0.0093830424323121,0.0136104334275029,0.0,0.1088486555714031,0.2344816190940824,0.1452651805060976,0.0040083595074573,0.0469778401763045,0.0
2024-03-15 00:00:00-07:00,88432.91666666666,46905.666666666664,18506.5,6792.0,4595.416666666666,6688.75,0.0,54381.83333333333,142846.5833333333,63974.08333333333,512.0833333333331,73214.41666666666,0.0,500322.0,0.1767520050420862,0.0937509577165638,0.0369891789687441,0.013575257534148,0.0091849182459829,0.0133688904345601,0.0,0.1086936679445104,0.2855092986783178,0.1278658210778925,0.0010235075278187,0.1463345938548907,0.0
2024-03-16 00:00:00-07:00,101179.66666666666,26498.0,18504.166666666664,6734.166666666666,4598.333333333333,6748.583333333333,0.0,54409.33333333333,116253.33333333331,62098.58333333333,-3408.25,54660.83333333333,0.0,456306.0833333333,0.2217363966036686,0.0580706700345327,0.0405520928660276,0.0147580032627952,0.0100773000871308,0.0147895975526661,0.0,0.119238676232127,0.2547705094880574,0.136089755542378,-0.0074692188521849,0.1197898413583133,0.0
2024-03-17 00:00:00-07:00,113183.0,27002.916666666664,18362.583333333332,6581.166666666666,4576.833333333333,6591.25,0.0,54414.58333333333,108231.91666666666,65354.83333333333,-10443.833333333332,43152.83333333333,0.0,435069.4166666666,0.2601492903527081,0.0620657661334886,0.0422061000610439,0.0151267048764057,0.0105197772079666,0.0151498812545814,0.0,0.1250710375145115,0.2487693055878247,0.1502170247544788,-0.0240049815805255,0.09918608773734,0.0
2024-03-18 00:00:00-07:00,125125.0,24019.666666666664,17492.333333333332,6188.5,4341.25,6647.666666666666,0.0,54416.75,146323.5833333333,65972.41666666666,1107.25,51381.416666666664,0.0,504837.1666666666,0.2478521952457938,0.047579037861383,0.0346494562768259,0.0122584080741546,0.0085993074334529,0.0131679422704944,0.0,0.1077906968682641,0.2898431276355445,0.1306805857862419,0.0021932814640232,0.1017781971282489,0.0
2024-03-19 00:00:00-07:00,137978.8333333333,39432.33333333333,17248.833333333332,5131.416666666666,4228.333333333333,6353.333333333333,0.0,54409.25,111580.33333333331,63690.74999999999,-8612.0,58909.416666666664,0.0,492167.3333333333,0.2803494340000894,0.0801197695634682,0.0350466846641589,0.0104261626465795,0.0085912514849285,0.0129088887112919,0.0,0.1105503074157705,0.2267121886729581,0.1294087309058843,-0.0174981137851489,0.1196938778274597,0.0
2024-03-20 00:00:00-07:00,135801.0,71937.83333333333,17633.083333333332,4804.916666666666,4239.416666666666,6316.5,0.0,54409.916666666664,75695.75,58600.08333333333,-4546.583333333333,65036.166666666664,0.0,491082.5833333333,0.2765339366715476,0.1464882603757582,0.0359065540741535,0.0097843353230982,0.0086327978440829,0.0128623987377547,0.0,0.110795859012851,0.1541405714008387,0.1193283682259144,-0.0092582866663125,0.1324342765838264,0.0
2024-03-21 00:00:00-07:00,131077.25,77211.41666666666,17999.0,5586.916666666666,4197.666666666666,6699.333333333333,0.0,54416.33333333333,70261.25,66255.41666666666,-2795.5,69792.0,0.0,493930.5,0.2653758980261393,0.1563204067508822,0.0364403494013833,0.0113111392527221,0.0084984965833587,0.0135633117074838,0.0,0.1101700205460754,0.1422492638134312,0.1341391484564461,-0.0056597031363724,0.1412992313695955,0.0
2024-03-22 00:00:00-07:00,135111.0833333333,59536.916666666664,18675.666666666664,6688.583333333333,4235.25,6770.0,0.0,54380.33333333333,84550.25,70733.91666666666,-2452.0833333333335,75473.83333333333,0.0,506046.6666666666,0.2669933273611129,0.1176510400885293,0.0369050285217437,0.0132173251478783,0.0083692874174977,0.0133782128130475,0.0,0.1074611037190245,0.1670799465134967,0.1397774579419552,-0.0048455676024609,0.1491440183382296,0.0
2024-03-23 00:00:00-07:00,96057.08333333331,93947.58333333331,18262.666666666664,6638.166666666666,4242.416666666667,6655.583333333333,0.0,54313.5,52422.916666666664,72094.5,-2023.25,85142.08333333333,0.0,475313.25,0.2020921641324607,0.1976540383280569,0.0384223807492567,0.0139658775905503,0.0089255173649517,0.0140025200924513,0.0,0.1142688532246891,0.1102913008771934,0.151677867174963,-0.004256666524655,0.1791283607880346,0.0
2024-03-24 00:00:00-07:00,104727.58333333331,106963.33333333331,17537.333333333332,6707.5,4201.916666666666,6254.583333333333,0.0,54374.58333333333,38316.5,71861.91666666666,-5938.916666666666,68377.16666666666,0.0,456681.6666666666,0.2293229419471623,0.2342185840611075,0.0384016583396895,0.0146874737691097,0.0092009751504512,0.0136957180238605,0.0,0.1190645197785474,0.0839019886208117,0.1573566926633796,-0.0130044998521946,0.1497261038870986,0.0
2024-03-25 00:00:00-07:00,127625.08333333331,97943.33333333331,17500.5,7051.333333333333,4250.333333333333,6374.166666666666,0.0,54477.916666666664,45710.5,67748.83333333333,3055.9166666666665,73750.41666666666,0.0,497794.0,0.256381321055162,0.1967547486175673,0.035156108751813,0.0141651633674438,0.008538337813098,0.0128048282355083,0.0,0.1094386767752658,0.0918261369160737,0.136098131623389,0.0061389182406109,0.1481544909473932,0.0
2024-03-26 00:00:00-07:00,136199.5,94169.91666666666,16244.916666666666,7014.833333333333,4119.166666666667,6347.583333333333,0.0,54509.166666666664,57520.75,65531.99999999999,-3520.666666666666,61300.58333333333,0.0,492311.5833333333,0.2766530478072914,0.1912811314108493,0.0329972261807774,0.0142487675911207,0.0083669911619318,0.0128934267407547,0.0,0.1107208696931262,0.1168380999905378,0.1331108229391989,-0.0071512976453428,0.1245158257668458,0.0
2024-03-27 00:00:00-07:00,123242.16666666666,57174.916666666664,15423.666666666666,6648.333333333333,4082.25,6544.333333333333,0.0,54489.25,84059.83333333333,74797.41666666666,658.5000000000002,99187.08333333331,0.0,516915.1666666666,0.2384185541728156,0.1106079301858364,0.0298379069937652,0.0128615559419646,0.0078973306709579,0.0126603623869938,0.0,0.1054123645691701,0.1626182374864218,0.1446995977096177,0.0012739034225796,0.1918827106059634,0.0
2024-03-28 00:00:00-07:00,107263.41666666666,87587.41666666666,16022.166666666666,5925.416666666666,4202.25,6835.5,0.0,54422.08333333333,86291.33333333333,68568.08333333333,-4669.333333333333,82675.41666666666,0.0,500049.3333333333,0.2145056687740142,0.1751575511216226,0.0320411719377021,0.0118496641664689,0.0084036708378106,0.0136696512610755,0.0,0.108833428435061,0.1725656401901679,0.1371226372331263,-0.0093377453424595,0.1653345203273276,0.0
2024-03-29 00:00:00-07:00,107823.16666666666,79740.75,15848.25,6366.916666666666,4570.75,6526.25,0.0,54469.33333333333,117316.16666666666,72082.5,-1368.6666666666663,67636.08333333333,0.0,514015.75,0.2097662701321246,0.1551328923286883,0.0308322264444231,0.0123866178549327,0.0088922372514849,0.0126965953864254,0.0,0.1059682185484264,0.2282345758212013,0.1402340297938341,-0.0026626940257505,0.1315836787750829,0.0
