Week_Start,Week_End,Solar,Wind,Geothermal,Biomass,Biogas,Small Hydro,Coal,Nuclear,Natural Gas,Large Hydro,Batteries,Imports,Other,CAISO_Load_MWh,Solar_share,Wind_share,Geothermal_share,Biomass_share,Biogas_share,Small Hydro_share,Coal_share,Nuclear_share,Natural Gas_share,Large Hydro_share,Batteries_share,Imports_share,Other_share
2023-11-05 00:00:00+00:00,2023-11-11 00:00:00+00:00,735784.5833333333,332473.3333333333,124532.08333333331,32628.33333333333,26614.166666666664,35096.666666666664,0.0,152197.25,1605006.0,251573.66666666666,-12339.5,673944.0833333333,0.0,3778574.6666666665,0.19510750946278235,0.0871923244201412,0.03304323178687057,0.008666938573118958,0.007058548321316286,0.009313671089275343,0.0,0.040051828140718726,0.4251436048149243,0.06663137193521902,-0.0033449149615060714,0.17918924329921265,0.0
2023-11-12 00:00:00+00:00,2023-11-18 00:00:00+00:00,555903.5,187718.5,127869.99999999999,36928.33333333333,26399.5,37900.416666666664,0.0,170399.8333333333,2030387.5833333333,313810.9166666666,-9684.666666666666,616388.75,0.0,3847435.083333333,0.14634636565627598,0.04890658840154203,0.0333591460575115,0.009644503842445858,0.0068787307652478005,0.009878050029387842,0.0,0.04427789232531656,0.5254038119572575,0.08158742946243398,-0.0025693982787348144,0.16043336801688696,0.0
2023-11-19 00:00:00+00:00,2023-11-25 00:00:00+00:00,690305.4166666666,369115.9166666666,134657.0833333333,42144.25,30427.416666666664,42110.83333333333,0.0,377552.49999999994,1594122.0833333333,301646.4166666666,-10380.999999999998,421006.83333333326,0.0,3667222.5,0.18831090152393531,0.1026731212344385,0.03685760824866523,0.011537281967039858,0.008341525149113642,0.011526431539272016,0.0,0.1033250229881112,0.43245880332729225,0.08217229480850387,-0.002953411436810843,0.1149718574629879,0.0
2023-11-26 00:00:00+00:00,2023-12-02 00:00:00+00:00,586859.0833333333,362289.3333333333,134513.0833333333,49549.916666666664,32385.25,40952.916666666664,0.0,377836.0,2171609.1666666665,300518.5833333333,-20060.916666666664,169619.41666666666,0.0,3939010.25,0.14943097617844242,0.0917446799120398,0.03424655593659557,0.012610214261267056,0.00824475955624213,0.010429308186890815,0.0,0.09616631071611433,0.5498671289864437,0.07614453511374118,-0.005174044504063843,0.0442725416733317,0.0
2023-12-03 00:00:00+00:00,2023-12-09 00:00:00+00:00,607183.3333333333,316729.5,131163.25,48980.83333333333,33382.166666666664,36652.75,0.0,346235.9166666666,2004900.5833333333,232059.24999999997,-9554.833333333332,399518.4166666666,0.0,3845651.9166666665,0.15801639179853755,0.08224029568797064,0.03415978472629248,0.012754033938154457,0.008690174482124413,0.009547656916326929,0.0,0.08984942239486472,0.5213294209768852,0.060424821157136314,-0.002363321025764271,0.10375043753371714,0.0
2023-12-10 00:00:00+00:00,2023-12-16 00:00:00+00:00,630533.0833333333,163470.91666666666,102597.0,47991.5,32674.333333333332,39663.5,0.0,188310.66666666666,2108392.833333333,277068.9166666666,-16323.416666666664,509546.0,0.0,4010942.083333333,0.15736573846040125,0.04092715914422305,0.02572394396865827,0.012004053519917042,0.008151625315820471,0.009917999829414558,0.0,0.047034606689253584,0.5246938654569171,0.06866269221067167,-0.003986254851148314,0.12760812424395757,0.0
2023-12-17 00:00:00+00:00,2023-12-23 00:00:00+00:00,344121.9166666666,208657.16666666663,126686.33333333333,46087.916666666664,32245.0,40503.416666666664,0.0,365132.1666666666,1852725.6666666665,325033.3333333333,-18626.083333333332,678541.25,0.0,3994273.0,0.08715651561422301,0.05275147458903379,0.03176653956519794,0.011578718989516198,0.0080821110304066,0.010158771222585444,0.0,0.09146546248360206,0.4620474092696556,0.08161280034230409,-0.004641548519954071,0.16977694975604227,0.0
2023-12-24 00:00:00+00:00,2023-12-30 00:00:00+00:00,516184.24999999994,178780.66666666666,135804.0833333333,51640.83333333333,32430.666666666664,40490.33333333333,0.0,328037.6666666666,1501842.0833333333,322107.5,-14452.749999999998,701926.3333333333,0.0,3759823.9166666665,0.13782993910293667,0.04796088051004373,0.0361849899493203,0.013770159057267858,0.008638879905813114,0.010788392183536671,0.0,0.08734859693218526,0.39872805616229906,0.08550543731498851,-0.004094396287943014,0.18684668848391664,0.0
2023-12-31 00:00:00+00:00,2024-01-06 00:00:00+00:00,480062.8333333333,295708.1666666666,135283.66666666666,45838.916666666664,33531.58333333333,36687.0,0.0,372944.75,1604630.1666666665,320623.75,-1000.4166666666674,490086.5833333333,0.0,3796948.5,0.12646917297754676,0.076644375800668,0.03570039721477127,0.012108796639727257,0.0088496697627981,0.009678460439926729,0.0,0.09837372436889733,0.4226137651967696,0.08440558988135836,-0.0003907543089482999,0.1299895241276259,0.0
2024-01-07 00:00:00+00:00,2024-01-13 00:00:00+00:00,598819.6666666666,490362.75,127252.33333333331,42960.166666666664,31279.25,30933.5,0.0,359198.0833333333,1787889.6666666665,257300.91666666663,-27486.416666666664,108052.25,0.0,3700380.9166666665,0.1660803480471427,0.13505922699213357,0.03456801738618364,0.011643156898851686,0.008476390472342258,0.008412881559419572,0.0,0.0975953531897906,0.4799970298555149,0.06877154832900245,-0.009194234633224468,0.0282019647130153,0.0
